,tag_serial_number,row_id,animal_project_code,station_name,receiver_id,deploy_latitude,deploy_longitude,arrival,departure,detections,swimtime_s,swimdistance_m,speed_m_s,totaldistance_m,distance_to_source_m,downstream_migration,first_dist_to_use,first_dist_to_use_idx,time_first_dist_to_use,delta_totdist,delta_t,migration_speed,migration
1,1171746,1,2019_Grotenete,rel_grotenete1,none,51.144779,5.003906,09/10/2019 17:30,09/10/2019 17:30,1,NA,NA,NA,0,0,FALSE,7635.421578,4,14/12/2019 22:38,7635.421578,5720908,0.001334652,FALSE
2,1171746,2,2019_Grotenete,gn-14,VR2W-122358,51.138267,4.996319,14/12/2019 18:43,14/12/2019 18:43,1,5706825,1048.509145,0.000184,1048.509145,1048.509145,TRUE,7635.421578,4,14/12/2019 22:38,6586.912433,14083,0.467720829,TRUE
3,1171746,3,2019_Grotenete,gn-13,VR2W-124066,51.119771,4.990306,14/12/2019 20:03,14/12/2019 20:06,2,4812,2389.94432,0.496663,3438.453465,3438.453465,TRUE,7635.421578,4,14/12/2019 22:38,4196.968113,9271,0.452698534,TRUE
4,1171746,4,2019_Grotenete,gn-11,VR2W-127720,51.09592,4.957142,14/12/2019 22:38,14/12/2019 22:38,1,9115,4338.377744,0.47596,7776.831209,7635.421578,TRUE,21357.31227,7,15/12/2019 04:09,13721.89069,19833,0.691871663,TRUE
5,1171746,5,2019_Grotenete,gn-10,VR2W-122324,51.091558,4.945793,14/12/2019 23:07,14/12/2019 23:09,2,1739,1107.062052,0.636608,8883.893261,8742.48363,TRUE,21357.31227,7,15/12/2019 04:09,12614.82864,18094,0.697182969,TRUE
6,1171746,6,2019_Grotenete,gn-9,VR2W-127109,51.081153,4.913762,15/12/2019 00:17,15/12/2019 00:19,2,4047,2855.524863,0.705591,11739.41812,11598.00849,TRUE,21357.31227,7,15/12/2019 04:09,9759.303779,13914,0.701401738,TRUE
7,1171746,7,2019_Grotenete,gn-7,VR2W-122340,51.061848,4.787587,15/12/2019 04:09,15/12/2019 04:11,2,13759,9817.88091,0.713561,21557.29903,21357.31227,TRUE,31338.23349,9,15/12/2019 18:38,9980.921215,52152,0.19138137,TRUE
8,1171746,8,2019_Grotenete,gn-6,VR2W-122333,51.078636,4.757592,15/12/2019 05:29,15/12/2019 05:31,2,4716,3296.955011,0.6991,24854.25405,24654.26728,TRUE,31338.23349,9,15/12/2019 18:38,6683.966204,47313,0.141271241,TRUE
9,1171746,9,2019_Grotenete,gn-5,VR2W-122332,51.125942,4.718199,15/12/2019 18:38,15/12/2019 18:45,5,47189,6683.966204,0.141642,31538.22025,31338.23349,TRUE,35783.62643,10,15/12/2019 21:28,4445.392939,10220,0.434969955,TRUE
10,1171746,10,2019_Grotenete,gn-4,VR2W-122353,51.135075,4.664932,15/12/2019 21:28,15/12/2019 21:33,3,9768,4503.97007,0.461094,36042.19032,35783.62643,TRUE,39887.6149,11,15/12/2019 23:05,4103.98847,5828,0.704184707,TRUE
11,1171746,11,2019_Grotenete,gn-3,VR2W-122365,51.130352,4.617316,15/12/2019 23:05,15/12/2019 23:07,2,5549,4186.83712,0.754521,40229.02744,39887.6149,TRUE,44215.90202,13,16/12/2019 00:39,4328.287125,5647,0.766475496,TRUE
12,1171746,12,2019_Grotenete,gn-2,VR2W-127721,51.135829,4.5937,15/12/2019 23:59,16/12/2019 00:17,6,3112,2138.410314,0.68715,42367.43775,42026.02521,TRUE,46288.62457,14,16/12/2019 01:14,4262.599357,4517,0.943679291,TRUE
13,1171746,13,2019_Grotenete,bn-3,VR2W-124063,51.126391,4.571903,16/12/2019 00:39,16/12/2019 00:42,3,1327,2189.87681,1.650246,44557.31456,44215.90202,TRUE,50582.61415,15,16/12/2019 02:34,6366.712132,6862,0.927821646,TRUE
14,1171746,14,2019_Grotenete,bn-2,VR2W-124078,51.117416,4.549158,16/12/2019 01:14,16/12/2019 01:17,2,1935,2072.722547,1.071174,46630.03711,46288.62457,TRUE,50582.61415,15,16/12/2019 02:34,4293.989585,4754,0.903237187,TRUE
15,1171746,15,2019_Grotenete,bn-1,VR2W-122351,51.093001,4.506837,16/12/2019 02:34,16/12/2019 03:09,14,4597,4293.989585,0.934085,50924.0267,50582.61415,FALSE,55176.55966,17,16/12/2019 21:17,4593.945504,67387,0.068172578,TRUE
16,1171746,16,2019_Grotenete,bn-1,VR2W-122351,51.093001,4.506837,16/12/2019 19:54,16/12/2019 20:13,10,NA,NA,NA,50924.0267,50582.61415,TRUE,55176.55966,17,16/12/2019 21:17,4593.945504,4960,0.92619869,TRUE
17,1171746,17,2019_Grotenete,bn-Walem,VR2W-122339,51.07183,4.45474,16/12/2019 21:17,16/12/2019 21:22,4,3813,4593.945504,1.204811,55517.9722,55176.55966,TRUE,62601.73428,18,16/12/2019 23:12,7425.174625,6920,1.073002113,TRUE
18,1171746,18,2019_Grotenete,ru-1,VR2W-122328,51.082273,4.366215,16/12/2019 23:12,16/12/2019 23:12,1,6612,7425.174625,1.122985,62943.14682,62601.73428,TRUE,78555.4429,20,17/12/2019 11:35,15953.70862,44565,0.357987403,TRUE
19,1171746,19,2019_Grotenete,me-7-2b,VR2W-113524,51.1008,4.330483,17/12/2019 00:01,17/12/2019 00:04,3,2918,3445.459128,1.18076,66388.60595,66047.19341,TRUE,78555.4429,20,17/12/2019 11:35,12508.24949,41647,0.300339748,TRUE
20,1171746,20,2019_Grotenete,s-9a,VR2W-127738,51.19068,4.33602,17/12/2019 11:35,17/12/2019 11:35,1,41432,12508.24949,0.301898,78896.85544,78555.4429,TRUE,86022.17104,21,17/12/2019 13:08,7466.728147,5604,1.332392603,TRUE
21,1171746,21,2019_Grotenete,s-10a,VR2W-127716,51.235423,4.396673,17/12/2019 13:08,17/12/2019 14:21,6,5604,7466.728147,1.332393,86363.58359,86022.17104,FALSE,100575.5524,23,18/12/2019 00:00,14553.38139,39090,0.372304461,TRUE
22,1171746,22,2019_Grotenete,s-10a,VR2W-127716,51.235423,4.396673,17/12/2019 20:30,17/12/2019 20:45,2,NA,NA,NA,86363.58359,86022.17104,TRUE,100575.5524,23,18/12/2019 00:00,14553.38139,12575,1.157326552,TRUE
23,1171746,23,2019_Grotenete,s-12,VR2W-127732,51.30305,4.28731,18/12/2019 00:00,18/12/2019 00:11,6,11713,14553.38139,1.242498,100916.965,100575.5524,TRUE,125685.4227,24,18/12/2019 21:46,25109.87025,78376,0.320377032,TRUE
24,1171746,24,2019_Grotenete,ws-53A,VR2W-127731,51.411167,4.029233,18/12/2019 21:46,18/12/2019 21:46,1,77681,25109.87025,0.323243,126026.8352,125685.4227,TRUE,151259.3675,25,20/12/2019 05:34,25573.94484,114470,0.223411766,TRUE
25,1171746,25,2019_Grotenete,ws-borssele,VR2AR-546900,51.43161667,3.704916667,20/12/2019 05:34,20/12/2019 05:36,2,114470,25988.18808,0.227031,152015.0233,151259.3675,TRUE,167775.3959,26,20/12/2019 22:12,16516.02838,59868,0.275874063,TRUE
26,1171746,26,2019_Grotenete,ws-WN2,VR2Tx-480061,51.428174,3.462181,20/12/2019 22:12,20/12/2019 22:12,1,59726,17106.00302,0.286408,169121.0263,167775.3959,NA,NA,NA,NA,NA,NA,NA,TRUE
27,1171747,27,2019_Grotenete,rel_grotenete1,none,51.144779,5.003906,09/10/2019 17:30,09/10/2019 17:30,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE
28,1171748,28,2019_Grotenete,rel_grotenete1,none,51.144779,5.003906,02/10/2019 13:00,02/10/2019 13:00,1,NA,NA,NA,0,0,FALSE,7635.421578,3,01/11/2019 20:51,7635.421578,2620260,0.002913994,FALSE
29,1171748,29,2019_Grotenete,gn-13,VR2W-124066,51.119771,4.990306,02/10/2019 20:27,02/10/2019 20:28,2,26821,3438.453465,0.1282,3438.453465,3438.453465,FALSE,7635.421578,3,01/11/2019 20:51,4196.968113,2593439,0.001618302,FALSE
30,1171748,30,2019_Grotenete,gn-11,VR2W-127720,51.09592,4.957142,01/11/2019 20:51,01/11/2019 20:53,2,2593334,4338.377744,0.001673,7776.831209,7635.421578,TRUE,21357.31227,6,03/11/2019 19:09,13721.89069,166728,0.082301057,TRUE
31,1171748,31,2019_Grotenete,gn-10,VR2W-122324,51.091558,4.945793,01/11/2019 21:25,01/11/2019 23:26,55,1932,1107.062052,0.573013,8883.893261,8742.48363,TRUE,21357.31227,6,03/11/2019 19:09,12614.82864,164651,0.07661556,TRUE
32,1171748,32,2019_Grotenete,gn-9,VR2W-127109,51.081153,4.913762,02/11/2019 17:30,02/11/2019 17:35,3,65047,2855.524863,0.043899,11739.41812,11598.00849,TRUE,21357.31227,6,03/11/2019 19:09,9759.303779,92329,0.105701392,TRUE
33,1171748,33,2019_Grotenete,gn-7,VR2W-122340,51.061848,4.787587,03/11/2019 19:09,03/11/2019 19:16,5,92079,9817.88091,0.106625,21557.29903,21357.31227,TRUE,31338.23349,8,04/11/2019 01:20,9980.921215,22269,0.448197998,TRUE
34,1171748,34,2019_Grotenete,gn-6,VR2W-122333,51.078636,4.757592,03/11/2019 20:43,03/11/2019 20:43,1,5187,3296.955011,0.635619,24854.25405,24654.26728,TRUE,31338.23349,8,04/11/2019 01:20,6683.966204,16659,0.401222535,TRUE
35,1171748,35,2019_Grotenete,gn-5,VR2W-122332,51.125942,4.718199,04/11/2019 01:20,04/11/2019 01:23,2,16659,6683.966204,0.401223,31538.22025,31338.23349,TRUE,35783.62643,9,04/11/2019 17:06,4445.392939,56759,0.078320494,TRUE
36,1171748,36,2019_Grotenete,gn-4,VR2W-122353,51.135075,4.664932,04/11/2019 17:06,04/11/2019 17:10,3,56608,4503.97007,0.079564,36042.19032,35783.62643,TRUE,39887.6149,10,04/11/2019 19:10,4103.98847,7410,0.553844598,TRUE
37,1171748,37,2019_Grotenete,gn-3,VR2W-122365,51.130352,4.617316,04/11/2019 19:10,04/11/2019 19:40,15,7200,4186.83712,0.581505,40229.02744,39887.6149,TRUE,44215.90202,12,04/11/2019 23:18,4328.287125,14873,0.291016414,TRUE
38,1171748,38,2019_Grotenete,gn-2,VR2W-127721,51.135829,4.5937,04/11/2019 22:05,04/11/2019 22:50,13,8692,2138.410314,0.246021,42367.43775,42026.02521,TRUE,46288.62457,13,05/11/2019 00:01,4262.599357,6958,0.612618476,TRUE
39,1171748,39,2019_Grotenete,bn-3,VR2W-124063,51.126391,4.571903,04/11/2019 23:18,04/11/2019 23:23,3,1686,2189.87681,1.298859,44557.31456,44215.90202,TRUE,50582.61415,14,05/11/2019 01:20,6366.712132,7325,0.869175718,TRUE
40,1171748,40,2019_Grotenete,bn-2,VR2W-124078,51.117416,4.549158,05/11/2019 00:01,05/11/2019 00:06,4,2285,2072.722547,0.9071,46630.03711,46288.62457,TRUE,50582.61415,14,05/11/2019 01:20,4293.989585,4741,0.905713897,TRUE
41,1171748,41,2019_Grotenete,bn-1,VR2W-122351,51.093001,4.506837,05/11/2019 01:20,05/11/2019 01:32,8,4418,4293.989585,0.971931,50924.0267,50582.61415,TRUE,55176.55966,15,05/11/2019 02:59,4593.945504,5932,0.774434508,TRUE
42,1171748,42,2019_Grotenete,bn-Walem,VR2W-122339,51.07183,4.45474,05/11/2019 02:59,05/11/2019 03:07,4,5195,4593.945504,0.884301,55517.9722,55176.55966,TRUE,62601.73428,16,05/11/2019 12:29,7425.174625,34233,0.216901079,TRUE
43,1171748,43,2019_Grotenete,ru-1,VR2W-122328,51.082273,4.366215,05/11/2019 12:29,05/11/2019 13:01,10,33745,7425.174625,0.220038,62943.14682,62601.73428,TRUE,72906.86678,18,05/11/2019 23:30,10305.1325,39638,0.259981142,TRUE
44,1171748,44,2019_Grotenete,me-7-2b,VR2W-113524,51.1008,4.330483,05/11/2019 14:02,05/11/2019 14:11,4,3666,3445.459128,0.939842,66388.60595,66047.19341,TRUE,72906.86678,18,05/11/2019 23:30,6859.673374,34061,0.201393775,TRUE
45,1171748,45,2019_Grotenete,s-8,VR2W-112295,51.14319,4.33078,05/11/2019 23:30,05/11/2019 23:32,2,33510,6859.673374,0.204705,73248.27933,72906.86678,TRUE,78555.4429,19,06/11/2019 00:24,5648.576113,3220,1.754216184,TRUE
46,1171748,46,2019_Grotenete,s-9a,VR2W-127738,51.19068,4.33602,06/11/2019 00:24,06/11/2019 00:30,5,3119,5648.576113,1.811022,78896.85544,78555.4429,TRUE,86022.17104,20,06/11/2019 01:49,7466.728147,5106,1.462343938,TRUE
47,1171748,47,2019_Grotenete,s-10a,VR2W-127716,51.235423,4.396673,06/11/2019 01:49,06/11/2019 01:53,4,4733,7466.728147,1.577589,86363.58359,86022.17104,TRUE,100575.5524,21,06/11/2019 14:12,14553.38139,44602,0.326294368,TRUE
48,1171748,48,2019_Grotenete,s-12,VR2W-127732,51.30305,4.28731,06/11/2019 14:12,06/11/2019 14:14,2,44316,14553.38139,0.3284,100916.965,100575.5524,TRUE,125923.9588,23,07/11/2019 04:40,25348.40633,52058,0.486926242,TRUE
49,1171748,49,2019_Grotenete,s-STD3,VR2W-134898,51.330504,4.270161,06/11/2019 15:45,06/11/2019 15:51,2,5508,3855.62017,0.700004,104772.5851,104431.1726,TRUE,125923.9588,23,07/11/2019 04:40,21492.78616,46455,0.462658189,TRUE
50,1171748,50,2019_Grotenete,ws-42A,VR2W-127735,51.42251303,4.032860596,07/11/2019 04:40,07/11/2019 04:43,2,46107,21492.78616,0.46615,126265.3713,125923.9588,TRUE,143052.7512,25,07/11/2019 17:00,17128.79243,44399,0.385792302,TRUE
51,1171748,51,2019_Grotenete,ws-HW6,VR2W-127725,51.43484,4.02702,07/11/2019 09:31,07/11/2019 10:42,10,17270,1507.100174,0.087267,127772.4715,126962.4419,TRUE,143052.7512,25,07/11/2019 17:00,16090.30931,26911,0.597908265,TRUE
52,1171748,52,2019_Grotenete,ws-18,VR2W-115447,51.3482621,3.8147323,07/11/2019 17:00,07/11/2019 17:00,1,22661,18658.61743,0.82338,146431.0889,143052.7512,TRUE,148812.4331,29,08/11/2019 01:20,5759.681951,30047,0.191689085,TRUE
53,1171748,53,2019_Grotenete,ws-16,VR2W-122346,51.3544901,3.795027,07/11/2019 17:48,07/11/2019 17:53,4,2898,1689.877606,0.583119,148120.9665,144162.6883,FALSE,148812.4331,29,08/11/2019 01:20,4649.744888,27149,0.17126763,TRUE
54,1171748,54,2019_Grotenete,ws-16,VR2W-122346,51.3544901,3.795027,07/11/2019 23:17,07/11/2019 23:17,1,NA,NA,NA,148120.9665,144162.6883,TRUE,148812.4331,29,08/11/2019 01:20,4649.744888,7405,0.627919634,TRUE
55,1171748,55,2019_Grotenete,ws-12A,VR2W-124071,51.3648799,3.765539,08/11/2019 00:03,08/11/2019 00:05,2,2738,2555.528571,0.933356,150676.4951,145806.8817,NA,NA,NA,NA,NA,NA,NA,TRUE
56,1171748,56,2019_Grotenete,ws-15,VR2W-120878,51.386465,3.7080085,08/11/2019 01:20,08/11/2019 01:22,2,4552,4993.919028,1.097082,155670.4141,148812.4331,NA,NA,NA,NA,NA,NA,NA,TRUE
57,1171749,57,2019_Grotenete,rel_grotenete1,none,51.144779,5.003906,02/10/2019 13:00,02/10/2019 13:00,1,NA,NA,NA,0,0,FALSE,7635.421578,4,27/11/2019 21:49,7635.421578,4870180,0.00156779,FALSE
58,1171749,58,2019_Grotenete,gn-14,VR2W-122358,51.138267,4.996319,27/11/2019 18:43,27/11/2019 18:44,2,4858997,1048.509145,0.000216,1048.509145,1048.509145,TRUE,7635.421578,4,27/11/2019 21:49,6586.912433,11183,0.589011216,TRUE
59,1171749,59,2019_Grotenete,gn-13,VR2W-124066,51.119771,4.990306,27/11/2019 19:45,27/11/2019 19:46,2,3625,2389.94432,0.659295,3438.453465,3438.453465,TRUE,7635.421578,4,27/11/2019 21:49,4196.968113,7474,0.561542429,TRUE
60,1171749,60,2019_Grotenete,gn-11,VR2W-127720,51.09592,4.957142,27/11/2019 21:49,27/11/2019 21:51,2,7366,4338.377744,0.588973,7776.831209,7635.421578,TRUE,21357.31227,7,01/12/2019 18:00,13721.89069,331850,0.041349678,TRUE
61,1171749,61,2019_Grotenete,gn-10,VR2W-122324,51.091558,4.945793,27/11/2019 22:13,27/11/2019 22:16,2,1368,1107.062052,0.809256,8883.893261,8742.48363,TRUE,21357.31227,7,01/12/2019 18:00,12614.82864,330394,0.038181167,TRUE
62,1171749,62,2019_Grotenete,gn-9,VR2W-127109,51.081153,4.913762,27/11/2019 23:27,27/11/2019 23:29,2,4246,2855.524863,0.672521,11739.41812,11598.00849,TRUE,21357.31227,7,01/12/2019 18:00,9759.303779,326005,0.029936056,TRUE
63,1171749,63,2019_Grotenete,gn-7,VR2W-122340,51.061848,4.787587,01/12/2019 18:00,01/12/2019 18:57,28,325885,9817.88091,0.030127,21557.29903,21357.31227,FALSE,31338.23349,19,15/12/2019 19:15,9980.921215,1214087,0.008220928,TRUE
64,1171749,64,2019_Grotenete,gn-7,VR2W-122340,51.061848,4.787587,01/12/2019 23:19,02/12/2019 00:21,12,NA,NA,NA,21557.29903,21357.31227,FALSE,31338.23349,19,15/12/2019 19:15,9980.921215,1194975,0.00835241,TRUE
65,1171749,65,2019_Grotenete,gn-7,VR2W-122340,51.061848,4.787587,02/12/2019 02:03,02/12/2019 03:17,7,NA,NA,NA,21557.29903,21357.31227,FALSE,31338.23349,19,15/12/2019 19:15,9980.921215,1185095,0.008422043,TRUE
66,1171749,66,2019_Grotenete,gn-7,VR2W-122340,51.061848,4.787587,02/12/2019 04:25,08/12/2019 05:50,3995,NA,NA,NA,21557.29903,21357.31227,FALSE,31338.23349,19,15/12/2019 19:15,9980.921215,1176610,0.008482778,TRUE
67,1171749,67,2019_Grotenete,gn-7,VR2W-122340,51.061848,4.787587,08/12/2019 07:09,10/12/2019 15:51,1232,NA,NA,NA,21557.29903,21357.31227,FALSE,31338.23349,19,15/12/2019 19:15,9980.921215,648336,0.015394674,TRUE
68,1171749,68,2019_Grotenete,gn-7,VR2W-122340,51.061848,4.787587,10/12/2019 17:14,11/12/2019 02:53,39,NA,NA,NA,21557.29903,21357.31227,FALSE,31338.23349,19,15/12/2019 19:15,9980.921215,439231,0.022723627,TRUE
69,1171749,69,2019_Grotenete,gn-7,VR2W-122340,51.061848,4.787587,11/12/2019 06:14,11/12/2019 07:50,6,NA,NA,NA,21557.29903,21357.31227,FALSE,31338.23349,19,15/12/2019 19:15,9980.921215,392436,0.025433246,TRUE
70,1171749,70,2019_Grotenete,gn-7,VR2W-122340,51.061848,4.787587,11/12/2019 08:56,11/12/2019 12:01,24,NA,NA,NA,21557.29903,21357.31227,FALSE,31338.23349,19,15/12/2019 19:15,9980.921215,382724,0.026078639,TRUE
71,1171749,71,2019_Grotenete,gn-7,VR2W-122340,51.061848,4.787587,11/12/2019 13:36,12/12/2019 07:59,233,NA,NA,NA,21557.29903,21357.31227,FALSE,31338.23349,19,15/12/2019 19:15,9980.921215,365913,0.02727676,TRUE
72,1171749,72,2019_Grotenete,gn-7,VR2W-122340,51.061848,4.787587,12/12/2019 09:39,12/12/2019 21:26,96,NA,NA,NA,21557.29903,21357.31227,FALSE,31338.23349,19,15/12/2019 19:15,9980.921215,293771,0.033975175,TRUE
73,1171749,73,2019_Grotenete,gn-7,VR2W-122340,51.061848,4.787587,13/12/2019 00:18,15/12/2019 15:00,1402,NA,NA,NA,21557.29903,21357.31227,TRUE,31338.23349,19,15/12/2019 19:15,9980.921215,240991,0.041416158,TRUE
74,1171749,74,2019_Grotenete,gn-6,VR2W-122333,51.078636,4.757592,15/12/2019 16:26,15/12/2019 16:30,3,5142,3296.955011,0.641181,24854.25405,24654.26728,TRUE,31338.23349,19,15/12/2019 19:15,6683.966204,10124,0.660210016,TRUE
75,1171749,75,2019_Grotenete,gn-5,VR2W-122332,51.125942,4.718199,15/12/2019 19:15,15/12/2019 19:23,6,9915,6683.966204,0.674127,31538.22025,31338.23349,TRUE,35783.62643,20,15/12/2019 21:33,4445.392939,8319,0.534366263,TRUE
76,1171749,76,2019_Grotenete,gn-4,VR2W-122353,51.135075,4.664932,15/12/2019 21:33,15/12/2019 21:39,3,7798,4503.97007,0.57758,36042.19032,35783.62643,TRUE,39887.6149,21,15/12/2019 23:03,4103.98847,5398,0.76027945,TRUE
77,1171749,77,2019_Grotenete,gn-3,VR2W-122365,51.130352,4.617316,15/12/2019 23:03,15/12/2019 23:07,3,5085,4186.83712,0.82337,40229.02744,39887.6149,TRUE,44215.90202,23,16/12/2019 00:24,4328.287125,4835,0.895198992,TRUE
78,1171749,78,2019_Grotenete,gn-2,VR2W-127721,51.135829,4.5937,15/12/2019 23:49,16/12/2019 00:04,6,2540,2138.410314,0.841894,42367.43775,42026.02521,TRUE,46288.62457,24,16/12/2019 00:55,4262.599357,3955,1.077774806,TRUE
79,1171749,79,2019_Grotenete,bn-3,VR2W-124063,51.126391,4.571903,16/12/2019 00:24,16/12/2019 00:28,3,1174,2189.87681,1.865312,44557.31456,44215.90202,TRUE,50582.61415,25,16/12/2019 01:54,6366.712132,5401,1.178802468,TRUE
80,1171749,80,2019_Grotenete,bn-2,VR2W-124078,51.117416,4.549158,16/12/2019 00:55,16/12/2019 00:58,2,1614,2072.722547,1.284215,46630.03711,46288.62457,TRUE,50582.61415,25,16/12/2019 01:54,4293.989585,3518,1.220576914,TRUE
81,1171749,81,2019_Grotenete,bn-1,VR2W-122351,51.093001,4.506837,16/12/2019 01:54,16/12/2019 02:53,21,3383,4293.989585,1.269285,50924.0267,50582.61415,FALSE,55176.55966,27,16/12/2019 08:53,4593.945504,25166,0.182545717,TRUE
82,1171749,82,2019_Grotenete,bn-1,VR2W-122351,51.093001,4.506837,16/12/2019 07:33,16/12/2019 07:51,11,NA,NA,NA,50924.0267,50582.61415,TRUE,55176.55966,27,16/12/2019 08:53,4593.945504,4834,0.950340402,TRUE
83,1171749,83,2019_Grotenete,bn-Walem,VR2W-122339,51.07183,4.45474,16/12/2019 08:53,16/12/2019 09:00,4,3769,4593.945504,1.218876,55517.9722,55176.55966,TRUE,62601.73428,28,16/12/2019 10:49,7425.174625,6928,1.071763081,TRUE
84,1171749,84,2019_Grotenete,ru-1,VR2W-122328,51.082273,4.366215,16/12/2019 10:49,16/12/2019 10:51,2,6546,7425.174625,1.134307,62943.14682,62601.73428,TRUE,75006.64704,30,16/12/2019 15:07,12404.91276,15474,0.801661675,TRUE
85,1171749,85,2019_Grotenete,me-7-2b,VR2W-113524,51.1008,4.330483,16/12/2019 11:39,16/12/2019 11:42,3,2911,3445.459128,1.1836,66388.60595,66047.19341,TRUE,75006.64704,30,16/12/2019 15:07,8959.453628,12439,0.720271214,TRUE
86,1171749,86,2019_Grotenete,s-7,VR2W-115442,51.11414,4.24123,16/12/2019 15:07,16/12/2019 15:13,2,12259,8959.453628,0.730847,75348.05958,75006.64704,TRUE,86022.17104,36,17/12/2019 07:24,11015.52401,58612,0.187939739,TRUE
87,1171749,87,2019_Grotenete,s-6,VR2W-115441,51.12267069,4.21890556,16/12/2019 15:42,16/12/2019 15:43,2,1701,1948.433424,1.145464,77296.493,76955.08046,FALSE,86022.17104,36,17/12/2019 07:24,9067.090582,56514,0.160439724,TRUE
88,1171749,88,2019_Grotenete,s-6,VR2W-115441,51.12267069,4.21890556,16/12/2019 20:17,16/12/2019 20:20,3,NA,NA,NA,77296.493,76955.08046,FALSE,NA,NA,NA,NA,NA,NA,TRUE
89,1171749,89,2019_Grotenete,s-7,VR2W-115442,51.11414,4.24123,16/12/2019 20:51,16/12/2019 20:51,1,1867,1948.433424,1.043617,79244.92643,75006.64704,FALSE,NA,NA,NA,NA,NA,NA,TRUE
90,1171749,90,2019_Grotenete,s-8a,VR2W-127719,51.14222,4.32646,16/12/2019 22:22,16/12/2019 22:22,1,5437,7452.377678,1.370678,86697.30411,72606.86242,TRUE,78555.4429,35,16/12/2019 23:21,5948.58048,3569,1.666735915,TRUE
91,1171749,91,2019_Grotenete,s-9a,VR2W-127738,51.19068,4.33602,16/12/2019 23:21,16/12/2019 23:35,7,3569,5948.580481,1.666736,92645.88459,78555.4429,TRUE,86022.17104,36,17/12/2019 07:24,7466.728147,28953,0.257891346,TRUE
92,1171749,92,2019_Grotenete,s-10a,VR2W-127716,51.235423,4.396673,17/12/2019 07:24,17/12/2019 07:32,4,28110,7466.728147,0.265625,100112.6127,86022.17104,TRUE,100575.5524,37,17/12/2019 10:54,14553.38139,12604,1.154663709,TRUE
93,1171749,93,2019_Grotenete,s-12,VR2W-127732,51.30305,4.28731,17/12/2019 10:54,17/12/2019 10:54,1,12082,14553.38139,1.204551,114665.9941,100575.5524,TRUE,125171.1861,39,18/12/2019 08:43,24595.63363,78559,0.313084861,TRUE
94,1171749,94,2019_Grotenete,s-STD3,VR2W-134898,51.330504,4.270161,17/12/2019 12:10,17/12/2019 12:12,2,4604,3855.62017,0.83745,118521.6143,104431.1726,TRUE,125171.1861,39,18/12/2019 08:43,20740.01346,73955,0.280440991,TRUE
95,1171749,95,2019_Grotenete,ws-55,VR2W-127734,51.40221,4.02998,18/12/2019 08:43,18/12/2019 08:43,1,73840,20740.01346,0.280878,139261.6278,125171.1861,FALSE,143052.7512,41,18/12/2019 18:41,17881.56513,35877,0.498413054,TRUE
96,1171749,96,2019_Grotenete,ws-53A,VR2W-127731,51.411167,4.029233,18/12/2019 08:52,18/12/2019 08:54,2,552,1041.430808,1.88665,140303.0586,125685.4227,TRUE,143052.7512,41,18/12/2019 18:41,17367.32851,35325,0.491644119,TRUE
97,1171749,97,2019_Grotenete,ws-18,VR2W-115447,51.3482621,3.8147323,18/12/2019 18:41,18/12/2019 18:43,2,35214,17781.57175,0.504957,158084.6303,143052.7512,TRUE,149765.1926,44,18/12/2019 21:00,6712.441413,8352,0.803692698,TRUE
98,1171749,98,2019_Grotenete,ws-16,VR2W-122346,51.3544901,3.795027,18/12/2019 19:08,18/12/2019 19:17,4,1449,1689.877606,1.166237,159774.5079,144162.6883,TRUE,149765.1926,44,18/12/2019 21:00,5602.50435,6762,0.828527706,TRUE
99,1171749,99,2019_Grotenete,ws-12A,VR2W-124071,51.3648799,3.765539,18/12/2019 19:39,18/12/2019 19:44,3,1340,2555.528571,1.907111,162330.0365,145806.8817,TRUE,167775.3959,45,19/12/2019 01:10,21968.51421,19833,1.107674795,TRUE
100,1171749,100,2019_Grotenete,ws-13,VR2W-120876,51.4071859,3.7080883,18/12/2019 21:00,18/12/2019 21:00,1,4578,6356.71841,1.388536,168686.7549,149765.1926,TRUE,167775.3959,45,19/12/2019 01:10,18010.2033,14968,1.203247147,TRUE
101,1171749,101,2019_Grotenete,ws-WN2,VR2Tx-480061,51.428174,3.462181,19/12/2019 01:10,19/12/2019 01:16,5,14968,18010.2033,1.203247,186696.9582,167775.3959,NA,NA,NA,NA,NA,NA,NA,TRUE
102,1171750,102,2019_Grotenete,rel_grotenete1,none,51.144779,5.003906,02/10/2019 13:00,02/10/2019 13:00,1,NA,NA,NA,0,0,FALSE,7635.421578,4,28/11/2019 04:23,7635.421578,4893836,0.001560212,FALSE
103,1171750,103,2019_Grotenete,gn-14,VR2W-122358,51.138267,4.996319,27/11/2019 18:17,27/11/2019 18:17,1,4857422,1048.509145,0.000216,1048.509145,1048.509145,TRUE,7635.421578,4,28/11/2019 04:23,6586.912433,36414,0.18088956,TRUE
104,1171750,104,2019_Grotenete,gn-13,VR2W-124066,51.119771,4.990306,27/11/2019 19:19,27/11/2019 19:20,2,3723,2389.94432,0.64194,3438.453465,3438.453465,TRUE,7635.421578,4,28/11/2019 04:23,4196.968113,32691,0.128382983,TRUE
